yarn_id,smooth,tweedy,plied,cable plied,chain plied,tight,loose,S twist,thick & thin,fuzz/hair/halo,soft,fluff/air/loft,mercerized,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,cl_7,cl_8,weight_id_1,weight_id_4,weight_id_5,weight_id_6,weight_id_10,weight_id_11,weight_id_12,weight_id_13,animal_fiber_bool_1_1,animal_fiber_bool_2_1,animal_fiber_bool_3_1,vegetable_fiber_bool_1_1,vegetable_fiber_bool_2_1,vegetable_fiber_bool_3_1,synthetic_fiber_bool_1_1,synthetic_fiber_bool_2_1,synthetic_fiber_bool_3_1,fiber_type_id_1_1,fiber_type_id_1_2,fiber_type_id_1_3,fiber_type_id_1_4,fiber_type_id_1_5,fiber_type_id_1_6,fiber_type_id_1_7,fiber_type_id_1_8,fiber_type_id_1_9,fiber_type_id_1_10,fiber_type_id_1_12,fiber_type_id_1_13,fiber_type_id_1_14,fiber_type_id_1_21,fiber_type_id_1_22,fiber_type_id_1_24,fiber_type_id_2_1,fiber_type_id_2_2,fiber_type_id_2_3,fiber_type_id_2_4,fiber_type_id_2_5,fiber_type_id_2_6,fiber_type_id_2_7,fiber_type_id_2_9,fiber_type_id_2_13,fiber_type_id_2_14,fiber_type_id_2_21,fiber_type_id_2_22,fiber_type_id_2_24,fiber_type_id_2_28,fiber_type_id_3_1,fiber_type_id_3_2,fiber_type_id_3_3,fiber_type_id_3_4,fiber_type_id_3_5,fiber_type_id_3_7,fiber_type_id_3_9,fiber_type_id_3_14,fiber_type_id_3_24,machine_wash_1,company_id_1,company_id_2,company_id_4,company_id_5,company_id_6,company_id_9,company_id_13,company_id_14,company_id_15,company_id_19,company_id_21,company_id_28,company_id_30,company_id_33,company_id_35,company_id_38,company_id_45,company_id_59,company_id_66,company_id_75,company_id_83,company_id_87,company_id_95,company_id_96,company_id_99,company_id_100,company_id_104,company_id_108,company_id_123,company_id_125,company_id_136,company_id_153,company_id_253,company_id_254,company_id_266,company_id_283,company_id_317,company_id_426,company_id_534,company_id_558,company_id_578,company_id_587,company_id_638,company_id_815,company_id_849,company_id_1002,company_id_1119,company_id_1342,company_id_2033,company_id_3155,company_id_3348,company_id_3754,company_id_10430,blend_10_13_10_2_80_24,blend_10_2_90_24,blend_20_2_80_24,blend_20_2_80_3,blend_20_3_80_5,blend_25_2_75_24,blend_25_2_75_3,blend_25_3_75_5,blend_30_3_70_5,blend_30_9_70_24,blend_50_1_50_5,blend_50_9_50_24,weight_id_7_8_9,num_fibers,num_stashes,num_comments,num_projects,rating_ct,rating_avg,plies
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.222222222,0.055555556,0.055555556,0.0,0.0,0.666666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.0165073714342,0.0243622005976,0.0243353397016,0.0362994652726,0.0162157019731,0.0
148,0,1,1,0,0,0,0,0,0,0,0,0,0,0.129032258,0.032258065,0.225806452,0.161290323,0.064516129,0.032258065,0.35483871,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0259305702101,0.0563568855258,0.0787711152656,0.055503643256,0.0748411869313,0.0167070868814,0.0
179,0,0,1,0,0,0,0,0,0,0,0,0,0,0.058823529,0.0,0.235294118,0.117647059,0.294117647,0.0,0.058823529,0.235294118,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0259305702101,0.0201599617236,0.0276104940106,0.0220349842074,0.032206955365,0.0167070868814,0.0
296,0,0,1,0,0,0,0,0,0,1,0,0,0,0.105263158,0.0,0.0,0.263157895,0.052631579,0.0,0.526315789,0.052631579,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0259305702101,0.0234743492084,0.0365433008964,0.0159410600035,0.0268129959465,0.0170094775942,0.0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.0,0.071428571,0.0,0.071428571,0.0,0.285714286,0.357142857,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.105396292189,0.0454761077822,0.0808857456003,0.102406828378,0.0176520578588,0.0
396,0,0,1,0,0,0,0,0,0,0,0,0,0,0.571428571,0.0,0.071428571,0.142857143,0.0,0.0,0.214285714,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.0156895355613,0.0357312275432,0.0234777510305,0.0375538744397,0.0174252648242,0.0
596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.833333333,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0172870468068,0.00565413597829,0.0203018338313,0.00337486365265,0.00624068560626,0.0157243170648,0.0
718,0,0,1,0,0,0,0,1,0,0,0,0,1,0.222222222,0.0,0.333333333,0.111111111,0.222222222,0.0,0.0,0.111111111,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.0279109550902,0.0292346407171,0.0251475266195,0.0293688546244,0.0159133112603,0.0
810,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0.0,0.25,0.291666667,0.041666667,0.0,0.208333333,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.0562492755426,0.0535968413148,0.0539852068443,0.0761739966713,0.0164424950077,0.00909880817968
966,0,0,1,0,0,0,0,0,0,0,0,0,0,0.142857143,0.0,0.0,0.0,0.428571429,0.142857143,0.142857143,0.142857143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00864352340338,0.00953116994709,0.0154293937118,0.00791756128974,0.0128733740772,0.0170850752724,0.0
