yarn_id,num_fibers,fiber_type,company_name,weight_name,machine_washable,yarn_name,permalink,rating_avg,pill_rank,split_rank
49,0,[Merino],Rowan,Super Bulky,,Big Wool,rowan-big-wool,4.29,0.771489307,0.701023514
50,1,"[Merino, Cotton]",Rowan,DK,1,Wool Cotton,rowan-wool-cotton,4.49,0.691443463,0.772631829
51,0,[Merino],Karabella Yarns,Aran,1,Aurora 8,karabella-yarns-aurora-8,4.57,0.791731684,0.840793894
53,1,"[Nylon, Wool]",Schoeller+Stahl,Fingering,1,Fortissima Socka 100,schoellerstahl-fortissima-socka-100,3.98,0.675896615,0.729357643
59,1,"[Silk, Mohair]",Rowan,Lace,,Kidsilk Haze,rowan-kidsilk-haze,4.46,0.529339986,0.649703248
62,1,"[Acrylic, Cotton]",Rowan,Aran,1,All Seasons Cotton,rowan-all-seasons-cotton,4.25,0.441991593,0.664604368
92,1,"[Metallic, Alpaca]",Cherry Tree Hill Yarn,Fingering,0,Glitter Alpaca,cherry-tree-hill-glitter-alpaca,4.24,0.528330726,0.511282968
95,0,[Wool],Cherry Tree Hill Yarn,Aran,0,Potluck Worsted,cherry-tree-hill-potluck-worsted,4.14,0.741457294,0.802241338
96,1,"[Silk, Wool]",Cherry Tree Hill Yarn,DK,0,Silk & Merino DK,cherry-tree-hill-silk--merino-dk,4.5,0.488980305,0.513893237
148,1,"[Alpaca, Rayon, Merino]",Rowan,DK,1,Felted Tweed DK ,rowan-felted-tweed-dk,4.42,0.606220429,0.664681138
152,1,"[Acrylic, Nylon]",Sirdar,Fingering,1,Snuggly 4 Ply,sirdar-snuggly-4-ply,4.08,0.478720547,0.684418577
163,1,"[Wool, Cotton, Acrylic]",Sirdar,Super Bulky,1,Denim Ultra,sirdar-denim-ultra,3.93,0.381742521,0.493592961
168,0,[Cotton],Rowan,Worsted,1,Handknit Cotton,rowan-handknit-cotton,4.3,0.423941182,0.691812639
179,1,"[Nylon, Mohair, Wool]",Rowan,Aran,0,Kid Classic,rowan-kid-classic,4.42,0.492215991,0.530522919
