yarn_id,num_fibers,animal_fiber_list,fiber_type_id_list,fiber_type_name_list,synthetic_list,vegetable_list,fiber_pct_list,fiber_id_list,company_permalink,company_name,weight_name,weight_knit_gauge,weight_ply,weight_wpi,discontinued,grams,machine_washable,yarn_name,yarn_notes,organic,permalink,rating_avg,rating_ct,rating_tot,texture,wpi,yardage,gauge_divisor,max_gauge,min_gauge,company_id,weight_id,common_price,num_stashes,num_projects,num_comments,last_updated
97217,1,[True],[24],[Merino],[False],[False],[100],[191312],yarn-carnival,Yarn Carnival,Fingering,28,4,14,FALSE,100,TRUE,High Wire 3-ply,"<p>Hand-Dyed Superwash Merino</p>

<p>Some labels during October 2012 mistakenly labeled as 400 yds. However, it has a lovely 490 yards per skein.</p>",,yarn-carnival-high-wire-3-ply,4.73,30,142,plied,,490,1,8,6,12102,5,,266,151,2,"Page created: October  8, 2012Last updated: January 23, 2015…"
73463,1,[True],[24],[Merino],[False],[False],[100],[151429],supernatural-yarns,Supernatural Yarns,Fingering,28,4,14,FALSE,100,TRUE,Mermaid Sock,"<p>~ Soft merino wool with a nice firm twist</p>

<p>~ formerly Hermione Jean Creations</p>",FALSE,supernatural-yarns-mermaid-sock,4.91,23,113,,,400,,,,8942,5,,221,154,3,"Page created: February  9, 2011Last updated: July  3, 2013…"
73396,3,"[True, True, True]","[13, 9, 14]","[Cashmere, Silk, Alpaca]","[False, False, False]","[False, False, False]","[10, 20, 70]","[151318, 151319, 151317]",a-verb-for-keeping-warm,A Verb for Keeping Warm,Fingering,28,4,14,FALSE,100,,Floating,"<p>Hand Wash Only</p>

<p>Naturally Dyed</p>",,a-verb-for-keeping-warm-floating,4.75,122,579,plied ,,400,1,8,6,2125,5,,442,355,2,"Page created: February  8, 2011Last updated: March  4, 2016…"
73394,2,"[True, True]","[9, 24]","[Silk, Merino]","[False, False]","[False, False]","[20, 80]","[151313, 151314]",a-verb-for-keeping-warm,A Verb for Keeping Warm,Lace,32-34,2,,FALSE,100,FALSE,Reliquary II,<p>Naturally Dyed <br />Hand Wash Only</p>,FALSE,a-verb-for-keeping-warm-reliquary-ii,4.8,44,211,Plied,,875,1,,7,2125,7,,254,141,2,"Page created: February  8, 2011Last updated: February 22, 2014…"
81403,1,[True],[24],[Merino],[False],[False],[100],[164998],the-copper-corgi-fiber-studio,The Copper Corgi Fiber Studio,Fingering,28,4,14,FALSE,113,TRUE,Savannah Sock,"<p>100% superwash merino. <br />A nice tight 2-ply twist makes this yarn durable and stretchy enough for socks, but maintains the elegance and lovely drape perfect for a fine shawl.</p>

<p>Savannah Sock can be machine washed in cold and laid flat to dry, but hand washing helps preserve the longevity.</p>

<p>Available at <a href=""http://www.thecoppercorgi.com"">our website</a></p>

<p>And <a href=""http://thefrayedknotsav.com"">The Frayed Knot</a> in Savannah, GA</p>",,the-copper-corgi-fiber-studio-savannah-sock,4.71,115,542,plied,16,460,1,8,6,10490,5,,662,439,6,"Page created: September  7, 2011Last updated: March 14, 2016…"
13734,2,"[True, True]","[9, 24]","[Silk, Merino]","[False, False]","[False, False]","[30, 70]","[14472, 14473]",yarns-northwest,Yarns Northwest,Worsted,20,10,9,FALSE,50,,Silk and Merino ,"<p>30% silk, 70% extrafine Merino</p>",,yarns-northwest-silk-and-merino,4.5,105,472,plied,,120,4,,20,2664,12,,284,297,3,"Page created: July 23, 2007Last updated: March  3, 2015…"
72422,1,[False],[6],[Polyester],[True],[False],[100],[149673],bernat,Bernat,Super Bulky,12-Aug,,6-May,FALSE,100,TRUE,Pipsqueak,"<p>Skeins in two put-ups of 100g or 250g. The 250 g skein has 300 yards per skein. Please make changes at stash level.</p>

<p>Machine Wash in Warm Water, Delicate Setting <br />Tumble Dry, Low Heat, Delicate Cycle</p>",,bernat-pipsqueak,3.93,554,2176,chenille,,120,4,,11,59,6,,2066,2838,24,"Page created: January 18, 2011Last updated: January 25, 2015…"
35783,1,[True],[24],[Merino],[False],[False],[100],[69334],three-irish-girls,Three Irish Girls,Fingering,28,4,14,FALSE,100,TRUE,Beckon Merino,<p>A 100% superwash merino that has a lovely spring and stretch -- easy to knit with and love.</p>,FALSE,three-irish-girls-beckon-merino,4.51,127,573,Plied,,370,4,,28,849,5,,1079,530,1,"Page created: August 25, 2008Last updated: January 31, 2016…"
118635,2,"[False, False]","[6, 5]","[Polyester, Acrylic]","[True, True]","[False, False]","[15, 85]","[227498, 227497]",patons-north-america,Patons North America,Sport,24-26,5,12,FALSE,60,TRUE,Glam Stripes,<p>Crochet Gauge: 18 sc and 20 rows with a 4 mm (U.S. G/6) crochet hook</p>,,patons-north-america-glam-stripes,4,32,128,chainette,,261,4,,24,45,10,,187,182,1,"Page created: May 17, 2014Last updated: May 28, 2015…"
4021,1,[True],[3],[Wool],[False],[False],[100],[5967],briggs--little,Briggs & Little,Aran,18,10,8,FALSE,113,,Heritage,"<ul>
<li>100% wool</li>

<li>2-ply</li>

<li>17 sts = 10cm (4″) on 5mm (US8) needles</li>

<li>215 yds/skein</li>

<li>4 oz. skeins</li>

<li>40+ shades</li>
</ul>

<p>This yarn is suitable for knitting sweaters, vests, socks, mittens, gloves, scarves, hats or afghans; and weaving blankets or upholstery material.</p>",,briggs--little-heritage,4.17,576,2400,2-ply woolen spun,,215,4,18,16,354,1,,2471,3662,20,"Page created: May  3, 2007Last updated: July 12, 2014…"
