yarn_id,num_fibers,animal_fiber_list,fiber_type_id_list,fiber_type_name_list,synthetic_list,vegetable_list,fiber_pct_list,fiber_id_list,company_permalink,company_name,weight_name,discontinued,machine_washable,yarn_name,organic,permalink,rating_avg,rating_ct,rating_tot,texture,company_id,weight_id,num_stashes,num_projects,num_comments
75868,4,"-1, -1, -1, 1","[21, 2, 1, 3]","[Other, Nylon, Cotton, Wool]","-1, 1, -1, -1","-1, -1, 1, -1","[7, 13, 35, 45]","[155538, 155537, 155536, 155535]",lana-grossa,Lana Grossa,Light Fingering,FALSE,TRUE,Meilenweit 100 Cotton Holiday Stretch,FALSE,lana-grossa-meilenweit-100-cotton-holiday-stretch,4.03,69,278,,28,13,157,262,3
3581,4,"-1, -1, -1, 1","[21, 1, 27, 3]","[Other, Cotton, Soy, Wool]","-1, -1, -1, -1","-1, 1, 1, -1","[3, 22, 25, 50]","[8433, 5646, 5648, 5647]",south-west-trading-company,South West Trading Company,Light Fingering,FALSE,TRUE,TOFUtsies,FALSE,south-west-trading-company-tofutsies,3.79,2262,8563,Plied,21,13,10137,9446,131
103470,4,"-1, -1, 1, 1","[19, 21, 14, 3]","[Plant fiber, Other, Alpaca, Wool]","-1, -1, -1, -1","1, -1, -1, -1","[2, 3, 15, 80]","[201774, 201773, 201772, 201771]",bare-naked-wools,Bare Naked Wools,Light Fingering,FALSE,,Stone Soup Fingering,,bare-naked-wools-stone-soup-fingering,4.7,77,362,plied ,12574,13,333,261,2
54195,4,"-1, -1, -1, 1","[21, 1, 27, 3]","[Other, Cotton, Soy, Wool]","-1, -1, -1, -1","-1, 1, 1, -1","[2, 22, 25, 50]","[66689, 66685, 66687, 66686]",south-west-trading-company,South West Trading Company,Light Fingering,FALSE,TRUE,TOFUtsies Solids,,south-west-trading-company-tofutsies-solids,4.04,46,186,plied,21,13,178,174,2
106273,4,"-1, 1, 1, 1","[12, 9, 16, 24]","[Linen, Silk, Llama, Merino]","-1, -1, -1, -1","1, -1, -1, -1","[15, 20, 25, 40]","[206403, 206402, 206401, 206400]",the-fibre-company,The Fibre Company,Light Fingering,FALSE,,Meadow,,the-fibre-company-meadow,4.7,448,2105,plied,227,13,1623,1536,10
104389,4,"1, 1, -1, 1","[9, 7, 2, 3]","[Silk, Mohair, Nylon, Wool]","-1, -1, 1, -1","-1, -1, -1, -1","[10, 20, 25, 45]","[203273, 203271, 203272, 203270]",rowan,Rowan,Light Fingering,FALSE,FALSE,Fine Art,FALSE,rowan-fine-art,4.58,728,3331,Plied,5,13,4075,2740,21
42387,3,"-1, 1, 1","[2, 13, 24]","[Nylon, Cashmere, Merino]","1, -1, -1","-1, -1, -1","[None, None, None]","[50623, 50624, 50625]",fresh-from-the-cauldron,Fresh From the Cauldron,Light Fingering,FALSE,FALSE,MCN Sock,FALSE,fresh-from-the-cauldron-mcn-sock,4.97,69,343,"tight twist, plied",4928,13,1092,316,1
103639,3,"-1, 1, 1","[21, 9, 7]","[Other, Silk, Mohair]","-1, -1, -1","-1, -1, -1","[None, 50, 50]","[202014, 202012, 202013]",artyarns,Artyarns,Light Fingering,FALSE,,Rhapsody Glitter Light,,artyarns-rhapsody-glitter-light,4.67,48,224,"plied, halo",66,13,162,157,2
9154,3,"-1, -1, 1","[21, 2, 3]","[Other, Nylon, Wool]","-1, 1, -1","-1, -1, -1","[7, 23, 70]","[10221, 10220, 10219]",lana-grossa,Lana Grossa,Light Fingering,FALSE,TRUE,Meilenweit Mega Boots Stretch Softcolor,FALSE,lana-grossa-meilenweit-mega-boots-stretch-softcolor,4.06,101,410,Plied,28,13,321,335,6
83459,3,"-1, 1, -1","[8, 7, 2]","[Metallic, Mohair, Nylon]","1, -1, 1","-1, -1, -1","[6, 26, 68]","[168537, 168535, 168536]",louisa-harding,Louisa Harding,Light Fingering,FALSE,FALSE,Simonetta,FALSE,louisa-harding-simonetta,4.06,70,284,,283,13,506,257,8
